timeExposed,timeTotal,propTimeExposed,propPopExposued,events,mdrr,exposureId,outcomeId,analysisId,ExposureGroup
20980.417937810606,15426174.738859344,0.0014,0.2664,200,13.7376,5,3,2,SccsVax
20981.022884194233,15554015.462913968,0.0013,0.2668,65,33.7927,5,4,2,SccsVax
15261.103974849248,14364156.933044925,0.0011,0.2062,3558,2.9637,6,1,2,SccsVax
14902.104978445595,13044409.09482204,0.0011,0.2062,360,10.2081,6,2,2,SccsVax
15259.539273062532,14337128.87362789,0.0011,0.2062,180,17.8487,6,3,2,SccsVax
15262.178039356864,14481902.074406298,0.0011,0.2065,61,43.8352,6,4,2,SccsVax
8699.81728236967,13143203.538191833,7e-4,0.1263,3375,3.7569,7,1,2,SccsVax
8506.336028545602,11922102.619862113,7e-4,0.1263,268,17.8065,7,2,2,SccsVax
8698.138792688062,13119696.070750104,7e-4,0.1263,152,29.6621,7,3,2,SccsVax
8705.337361775311,13272499.037372615,7e-4,0.1265,22,172.1437,7,4,2,SccsVax
133527.10442927893,35155390.456145324,0.0038,0.7774,8445,1.5577,8,1,2,SccsVax
126534.35347192864,31100425.374168776,0.0041,0.7774,595,3.6346,8,2,2,SccsVax
133688.77602127995,35188585.615222566,0.0038,0.7774,360,4.8742,8,3,2,SccsVax
134438.9862603925,36533506.673749186,0.0037,0.7775,62,16.0181,8,4,2,SccsVax
102492.43164484912,29336889.315280385,0.0035,0.701,7167,1.6403,9,1,2,SccsVax
97167.70217219142,25657036.548462905,0.0038,0.701,527,3.9937,9,2,2,SccsVax
102625.02938927118,29375635.94829782,0.0035,0.701,318,5.4771,9,3,2,SccsVax
103183.55021670487,30819740.75641691,0.0033,0.7011,54,19.1699,9,4,2,SccsVax
37635.02081239329,18531563.447827682,0.002,0.4056,4456,2.151,10,1,2,SccsVax
35780.88821498898,16688046.12137356,0.0021,0.4056,338,7.056,10,2,2,SccsVax
37612.848395056346,18455324.14093165,0.002,0.4056,207,10.0826,10,3,2,SccsVax
37625.30164557636,18634235.560191616,0.002,0.4062,30,47.5295,10,4,2,SccsVax
13214.217513178986,13957500.21211042,9e-4,0.1821,3461,3.1504,11,1,2,SccsVax
13108.472692507907,12668901.87083131,0.001,0.1821,282,13.015,11,2,2,SccsVax
13213.714689608032,13927911.413548902,9e-4,0.1821,161,21.2786,11,3,2,SccsVax
13211.188448080482,14064120.132423945,9e-4,0.1824,27,101.9416,11,4,2,SccsVax
18653.590402663314,15012548.136576777,0.0012,0.2431,3694,2.7387,12,1,2,SccsVax
18045.09949338537,13648583.305774916,0.0013,0.2431,358,9.2823,12,2,2,SccsVax
18650.559453378435,14983895.314504242,0.0012,0.2431,191,15.171,12,3,2,SccsVax
18652.603595205906,15116574.4556027,0.0012,0.2435,56,41.3643,12,4,2,SccsVax
13843.766064179888,14095080.26913655,0.001,0.1902,3503,3.0845,13,1,2,SccsVax
13520.221407211562,12797654.41379919,0.0011,0.1902,346,11.0772,13,2,2,SccsVax
13842.41097881324,14069169.373977197,0.001,0.1902,172,19.6373,13,3,2,SccsVax
13845.629813367224,14216172.17068114,0.001,0.1905,54,52.1828,13,4,2,SccsVax
7666.02804067941,12956557.202503977,6e-4,0.1127,3325,3.9992,14,1,2,SccsVax
7492.681815122212,11753867.70254211,6e-4,0.1127,265,19.5821,14,2,2,SccsVax
7664.533944409748,12934191.286359213,6e-4,0.1127,147,33.4351,14,3,2,SccsVax
7671.096931026689,13086857.677655844,6e-4,0.1129,22,190.852,14,4,2,SccsVax
149724.70176662004,38029616.126042835,0.0039,0.8082,9157,1.5227,1,1,3,SccsVax
141851.58966292406,33632271.921203144,0.0042,0.8082,666,3.3906,1,2,3,SccsVax
149914.67808020944,38075478.79569395,0.0039,0.8082,395,4.547,1,3,3,SccsVax
150749.29928015353,39560867.294644535,0.0038,0.8083,67,14.7099,1,4,3,SccsVax
114188.18315117063,31362917.73402091,0.0036,0.7324,7683,1.6018,2,1,3,SccsVax
108160.0364939504,27395205.738963835,0.0039,0.7324,581,3.7294,2,2,3,SccsVax
114345.29962515367,31416654.62224477,0.0036,0.7324,342,5.135,2,3,3,SccsVax
114974.1068680122,33021799.105101172,0.0035,0.7324,56,18.0789,2,4,3,SccsVax
40791.2859815518,19099336.74337661,0.0021,0.428,4589,2.0979,3,1,3,SccsVax
38797.7769692671,17193114.199016664,0.0023,0.428,342,6.787,3,2,3,SccsVax
40767.52928947245,19018160.375902064,0.0021,0.428,217,9.4338,3,3,3,SccsVax
40780.587062897044,19199131.244885918,0.0021,0.4285,30,45.5462,3,4,3,SccsVax
13752.920837647802,14056307.014510877,0.001,0.1884,3479,3.0988,4,1,3,SccsVax
13643.398418473844,12759026.957687784,0.0011,0.1884,283,12.6784,4,2,3,SccsVax
13752.393294899586,14026174.84366704,0.001,0.1884,163,20.5391,4,3,3,SccsVax
13749.833085976421,14161619.117653996,0.001,0.1887,27,98.9809,4,4,3,SccsVax
20983.894931714538,15456576.45099776,0.0014,0.2664,3790,2.6198,5,1,3,SccsVax
20303.665712908474,14057132.925761012,0.0014,0.2664,378,8.4429,5,2,3,SccsVax
20980.417937810606,15426174.73694427,0.0014,0.2664,200,13.7376,5,3,3,SccsVax
20981.022884194233,15554015.461172404,0.0013,0.2668,65,33.7927,5,4,3,SccsVax
15261.103974849248,14364156.933339063,0.0011,0.2062,3558,2.9637,6,1,3,SccsVax
14902.104978445595,13044409.099334644,0.0011,0.2062,360,10.2081,6,2,3,SccsVax
15259.539273062532,14337128.874039905,0.0011,0.2062,180,17.8487,6,3,3,SccsVax
15262.178039356864,14481902.074786779,0.0011,0.2065,61,43.8352,6,4,3,SccsVax
8699.81728236967,13143203.536604824,7e-4,0.1263,3375,3.7569,7,1,3,SccsVax
8506.3360285456,11922102.620979657,7e-4,0.1263,268,17.8065,7,2,3,SccsVax
8698.138792688062,13119696.069256064,7e-4,0.1263,152,29.6621,7,3,3,SccsVax
8705.337361775311,13272499.035793856,7e-4,0.1265,22,172.1437,7,4,3,SccsVax
133527.10442927893,35155390.489670575,0.0038,0.7774,8445,1.5577,8,1,3,SccsVax
126534.35347192864,31100425.442016453,0.0041,0.7774,595,3.6346,8,2,3,SccsVax
133688.77602127995,35188585.647319555,0.0038,0.7774,360,4.8742,8,3,3,SccsVax
134438.9862603925,36533506.69102136,0.0037,0.7775,62,16.0181,8,4,3,SccsVax
102492.43164484912,29336889.34114868,0.0035,0.701,7167,1.6403,9,1,3,SccsVax
97167.7021721914,25657036.60842337,0.0038,0.701,527,3.9937,9,2,3,SccsVax
102625.02938927118,29375635.972447462,0.0035,0.701,318,5.4771,9,3,3,SccsVax
103183.55021670487,30819740.763493896,0.0033,0.7011,54,19.1699,9,4,3,SccsVax
37635.02081239329,18531563.454762004,0.002,0.4056,4456,2.151,10,1,3,SccsVax
35780.88821498898,16688046.136858447,0.0021,0.4056,338,7.056,10,2,3,SccsVax
37612.848395056346,18455324.148479544,0.002,0.4056,207,10.0826,10,3,3,SccsVax
